[Node 2] 2025/12/10 19:11:40.922423 [Database] client 119 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.938542 [Database] client 120 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.954481 [Database] client 121 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.970507 [Database] client 122 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.986475 [Database] client 123 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.002485 [Database] client 124 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.020459 [Database] client 125 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.036548 [Database] client 126 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.052489 [Database] client 127 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.068519 [Database] client 128 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.088543 [Database] client 129 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.106486 [Database] client 130 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.132387 [Database] client 131 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.148592 [Database] client 132 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.162562 [Database] client 133 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.179443 [Database] client 134 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.193529 [Database] client 135 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.209499 [Database] client 136 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.225503 [Database] client 137 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.241487 [Database] client 138 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.257529 [Database] client 139 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.273507 [Database] client 140 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.291536 [Database] client 141 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.309738 [Database] client 142 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.325512 [Database] client 143 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.339456 [Database] client 144 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.359397 [Database] client 145 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.373659 [Database] client 146 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.389328 [Database] client 147 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.403448 [Database] client 148 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.426386 [Database] client 149 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.441536 [Database] client 150 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.460588 [Database] client 151 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.476567 [Database] client 152 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.495498 [Database] client 153 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.511516 [Database] client 154 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.528440 [Database] client 155 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.543546 [Database] client 156 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.557467 [Database] client 157 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.571603 [Database] client 158 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.589565 [Database] client 159 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.608498 [Database] client 160 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.627534 [Database] client 161 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.650422 [Database] client 162 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.664518 [Database] client 163 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.683482 [Database] client 164 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.701455 [Database] client 165 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.722471 [Database] client 166 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.741465 [Database] client 167 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.758505 [Database] client 168 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.774751 [Database] client 169 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.791508 [Database] client 170 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.814560 [Database] client 171 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.829452 [Database] client 172 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.847498 [Database] client 173 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.865517 [Database] client 174 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.886578 [Database] client 175 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.909570 [Database] client 176 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.928447 [Database] client 177 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.940528 [Database] client 178 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.957570 [Database] client 179 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.978548 [Database] client 180 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:41.995519 [Database] client 181 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.009533 [Database] client 182 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.025496 [Database] client 183 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.044532 [Database] client 184 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.056576 [Database] client 185 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.074478 [Database] client 186 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.088695 [Database] client 187 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.107444 [Database] client 188 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.121577 [Database] client 189 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.138451 [Database] client 190 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.152569 [Database] client 191 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.171501 [Database] client 192 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.185554 [Database] client 193 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.204464 [Database] client 194 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.218571 [Database] client 195 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.236515 [Database] client 196 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.254457 [Database] client 197 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.268612 [Database] client 198 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.288613 [Database] client 199 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.306532 [Database] client 200 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.325426 [Database] client 201 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.349408 [Database] client 202 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.367522 [Database] client 203 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.383571 [Database] client 204 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.399507 [Database] client 205 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.418541 [Database] client 206 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.439489 [Database] client 207 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.453617 [Database] client 208 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.470555 [Database] client 209 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.485573 [Database] client 210 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.503619 [Database] client 211 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.522529 [Database] client 212 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.537714 [Database] client 213 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.555509 [Database] client 214 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.577485 [Database] client 215 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.592514 [Database] client 216 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.612522 [Database] client 217 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.630523 [Database] client 218 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.650526 [Database] client 219 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.663570 [Database] client 220 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:42.682535 [Database] client 221 initialized with balance 10 (bolt)
